scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,168,0.7,1.3124888770221643,0.5519018006546911,1.1851401428103512,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,192,0.8,1.311574969304273,0.6532569395849191,1.2060261861199684,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,216,0.9,1.3105635639104332,0.7664442779556909,1.2242869699066048,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,240,1.0,1.3094845948232405,0.8884109813721028,1.2395422017817688,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,264,1.1,1.3083662419011,1.016219368240124,1.2529525487311537,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,288,1.2,1.3072356656567505,1.1469206305194841,1.2643280809168411,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,312,1.3,1.3061169977911087,1.2778118092060546,1.273821734406278,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,336,1.4,1.3050314143279513,1.4064487914921202,1.2822260751227896,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,360,1.5,1.3039963690863723,1.5307194010070952,1.288942585184719,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,384,1.6,1.3030265989225585,1.6487913748632155,1.2949476186581554,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,408,1.7,1.3021328967975372,1.7592269972558374,1.2999202366676728,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,432,1.8,1.301323099671776,1.860908517793993,1.303900826682758,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,456,1.9,1.3006027594561418,1.9529715870965993,1.3075926554840593,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,480,2.0,1.2999736451299557,2.0349732418764264,1.3103002815063702,1.2891474420878757,1.0,1.0,1.0
